TIME	20170603_W01	20170603_W02	20170603_W03	20170603_W05	20170603_W06	20170605_W06	20170605_W07	20170605_W08	20170605_W09	20170605_W10	20170605_W11	20180415_780_W06	20180415_780_W07	20180415_780_W08	20180415_780_W09	20180415_780_W10	20180421_DB_W07	20180421_DB_W08	20180421_DB_W09	20180421_DB_W10	20180421_DB_W11	20180421_DB_W12	20180421_NLO_W05	20180421_NLO_W06	20180421_NLO_W08	20180422_780_W06	20180422_780_W07	20180422_780_W08	20180422_780_W09	20180429_DB_W06	20180429_DB_W08	20180505_780_W05	20180505_780_W06	20180505_780_W07
60	4757.879	7766.357	6043.094	4331.395	6961.862	2914.392	2463.333	2567.933	2340.983	4600.056	3044.041	8509.708	8422.831	9287.768	2029.373	7511.69	3228.851	1383.169	7649.245	3977.897	7597.96	9712.672	10961.708	3738.749	13438.718	6326.41	8629.17	1938.978	9894.748	4766.69	10992.542	7322.053	2605.115	2474.84
61	4807.213	7737.488	6152.268	4350.811	6894.04	2840.229	2485.306	2554.957	2482.509	4625.122	3128.135	8347.21	8190.566	9139.545	2168.9	7905.883	3274.146	1389.868	7954.701	3802.707	7713.329	10047.996	11370.567	3843.611	14237.771	6161.871	8695.77	1918.423	10226.749	4894.167	11454.808	7078.436	2749.906	2506.242
62	4855.358	7686.685	6228.532	4384.502	6934.123	2775.921	2585.844	2560.386	2619.27	4666.637	3255.488	8561.177	8403.705	9402.12	2314.557	8636.189	3375.269	1394.195	8338.76	3693.664	8053.562	10500.284	12056.463	3966.448	14809.997	6240.523	9040.699	1948.007	10941.891	4995.343	11979.405	7116.19	2950.248	2641.406
63	4885.257	7648.775	6445.479	4442.279	7014.25	2766.278	2750.327	2606.143	2728.92	4769.386	3407.811	9031.787	8762.41	9512.744	2480.312	9215.887	3539.378	1432.146	8845.805	3660.398	8602.883	10875.594	13039.867	4222.851	15601.903	6367.991	9442.051	1981.857	11448.308	5133.471	12430.382	7390.192	3188.056	2797.922
64	4934.667	7630.648	6648.434	4520.388	7229.593	2806.921	2888.765	2692.968	2825.213	4939.253	3556.451	9532.814	9507.489	9782.374	2657.712	9787.299	3789.236	1470.678	9420.33	3684.849	9298.895	11358.489	13932.995	4559.973	16372.627	6535.604	9781.863	2026.781	12049.246	5216.021	12784.678	7607.159	3393.618	2976.251
65	5012.637	7678.366	6782.053	4592.367	7498.06	2887.608	3151.868	2791.669	2864.948	5136.525	3726.684	10361.704	10550.772	10185.236	2814.667	10332.833	4074.768	1522.258	9991.676	3785.395	10033.671	11646.823	14793.985	4905.532	16636.814	6964.272	10317.638	2077.911	12554.73	5298.713	13020.087	8095.03	3577.729	3186.907
66	5040.139	7886.078	6940.937	4652.647	7813.059	3051.677	3351.862	2947.329	2886.232	5304.697	3852.865	10841.428	11476.862	10168.435	2888.261	10310.138	4371.201	1587.301	10487.115	3942.976	10755.726	11911.114	15661.957	5396.737	17012.734	7264.511	10482.745	2072.533	12662.162	5338.124	13182.546	8451.507	3649.795	3385.902
67	5135.287	8218.889	7050.449	4672.703	8189.934	3226.413	3414.065	3118.585	2870.18	5480.307	3952.799	11487.089	12682.952	10470.58	2998.41	10499.845	4689.424	1661.879	10869.009	4175.911	11478.908	12069.816	15779.751	5743.375	17308.246	7641.003	10693.781	2102.281	12704.25	5418.95	13242.786	8939.093	3703.164	3660.078
68	5156.835	8477.868	7108.785	4687.946	8425.522	3402.183	3588.906	3253.012	2830.132	5603.969	4004.065	11606.945	13306.68	10373.868	2999.442	10232.956	4928.69	1740.204	11060.27	4428.761	11870.806	12012.72	15823.298	6035.11	16923.572	7822.077	10632.32	2133.833	12422.214	5506.685	13239.842	9217.219	3667.32	3776.502
69	5178.714	8836.645	7100.716	4652.792	8673.199	3529.886	3600.832	3383.423	2766.312	5662.354	4017.31	11734.167	13975.965	10465.245	3075.04	10108.763	5140.446	1806.101	11076.413	4623.433	12019.861	11799.576	15830.886	6323.227	16937.57	8031.704	10554.397	2109.473	12342.886	5593.124	13254.084	9413.849	3625.128	3901.29
70	5192.244	8977.132	7045.071	4639.298	8893.632	3694.553	3568.333	3439.922	2701.374	5648.737	3970.438	11507.804	14105.596	10104.74	3046.047	9504.866	5263.959	1852.849	10966.077	4746.342	12021.074	11569.543	15508.739	6388.622	16726.07	8054.516	10514.446	2152.078	12026.866	5670.94	13108.302	9462.845	3522.013	3985.173
